Word,Surprisal,Word_Onset,Word_Onset_Samples
She,1.5114,46.94,11735.0
noticed,11.0626,47.16,11790.0
things,6.7966,47.65,11912.5
And,7.5632,48.54,12135.0
worst,14.1823,48.74,12185.0
of,0.1898,49.03,12257.5
all,0.0066,49.15,12287.5
she,0.999,49.77,12442.5
looked,5.8832,49.97,12492.5
hungry,8.7776,50.18,12545.0
That,7.1516,51.49,12872.5
night,6.2335,51.75,12937.5
the,2.1797,52.08,13020.0
new,8.5233,52.16,13040.0
cat,3.0408,52.41,13102.5
prow,13.9806,52.83,13207.5
the,1.6211,53.24,13310.0
farm,2.9538,53.31,13327.5
yard,7.8249,53.64,13410.0
like,6.4852,53.88,13470.0
a,0.7052,54.05,13512.5
ghost,5.1604,54.14,13535.0
Her,5.8871,55.13,13782.5
black,6.94,55.33,13832.5
coat,4.8437,55.83,13957.5
melted,10.8744,56.0,14000.0
into,3.8625,56.45,14112.5
the,2.4503,56.68,14170.0
shadows,7.8022,56.81,14202.5
as,2.7395,57.26,14315.0
she,0.7294,57.44,14360.0
moved,5.4889,57.59,14397.5
without,9.2979,58.03,14507.5
a,3.11,58.38,14595.0
sound,5.4678,58.45,14612.5
waiting,8.5684,59.31,14827.5
listening,8.2668,59.95,14987.5
At,6.7822,61.64,15410.0
dawn,6.0132,61.88,15470.0
the,1.9853,62.24,15560.0
mice,6.8637,62.33,15582.5
gathered,8.405,62.66,15665.0
in,3.1166,63.05,15762.5
the,1.0859,63.17,15792.5
barn,4.6959,63.24,15810.0
Wh,12.963,64.01,16002.5
and,4.1586,64.54,16135.0
scared,11.3465,64.67,16167.5
looks,6.3677,65.04,16260.0
replacing,18.7854,65.37,16342.5
their,5.3031,65.88,16470.0
usual,3.3345,66.01,16502.5
chatter,7.148,66.47,16617.5
There,6.2851,67.81,16952.5
were,2.0017,67.99,16997.5
fewer,10.0587,68.12,17030.0
mice,2.8218,68.46,17115.0
now,5.2173,68.79,17197.5
Where,9.0684,69.64,17410.0
did,2.5525,69.81,17452.5
they,1.6633,69.94,17485.0
go,2.4391,70.08,17520.0
the,8.5768,70.33,17582.5
young,10.3962,70.43,17607.5
mouse,1.1926,70.67,17667.5
asked,9.3926,70.92,17730.0
looking,4.7472,71.62,17905.0
around,4.2656,71.93,17982.5
The,2.943,73.27,18317.5
old,1.0069,73.36,18340.0
mouse,0.3408,73.6,18400.0
looked,4.0495,73.92,18480.0
toward,8.9458,74.35,18587.5
the,0.415,74.56,18640.0
farm,4.3659,74.63,18657.5
house,6.0561,76.15,19037.5
The,2.718,76.24,19060.0
new,5.2326,76.45,19112.5
cat,3.0915,76.76,19190.0
sat,6.5774,76.98,19245.0
by,5.9839,77.12,19280.0
the,0.5116,77.24,19310.0
door,4.1377,77.6,19400.0
licking,9.1541,77.92,19480.0
her,2.0034,78.08,19520.0
paws,4.8857,79.13,19782.5
Her,5.2012,79.28,19820.0
belly,9.8565,79.57,19892.5
was,1.9692,79.76,19940.0
round,10.589,80.46,20115.0
She,1.838,80.67,20167.5
looked,3.3669,80.92,20230.0
satisfied,11.5838,82.26,20565.0
Each,10.7993,82.56,20640.0
night,5.2693,82.99,20747.5
more,6.8664,83.24,20810.0
mice,0.8307,83.55,20887.5
vanished,10.347,85.1,21275.0
Fear,12.5835,85.48,21370.0
clenched,14.0332,85.92,21480.0
the,4.7755,86.01,21502.5
mice,6.6415,86.37,21592.5
like,6.2168,86.74,21685.0
cold,8.2145,86.96,21740.0
iron,6.1105,87.89,21972.5
A,5.4966,88.0,22000.0
secret,11.7326,88.36,22090.0
meeting,11.2404,88.69,22172.5
was,3.1307,88.84,22210.0
summoned,10.7001,90.11,22527.5
We,8.3415,90.24,22560.0
must,4.7291,90.52,22630.0
fight,6.7916,90.78,22695.0
back,6.2058,91.12,22780.0
to,6.3665,91.17,22792.5
clear,10.7998,91.49,22872.5
the,1.0345,91.58,22895.0
old,6.8473,91.81,22952.5
mouse,1.9114,92.48,23120.0
If,6.2508,92.65,23162.5
we,1.0838,92.75,23187.5
don,3.1386,92.96,23240.0
stop,6.9214,93.26,23315.0
her,3.0536,93.5,23375.0
none,10.3839,93.69,23422.5
of,0.2615,93.79,23447.5
us,1.1265,93.98,23495.0
will,0.7436,94.07,23517.5
be,2.6642,94.22,23555.0
left,3.9759,95.5,23875.0
He,8.0276,95.66,23915.0
sighed,7.2918,96.1,24025.0
deeply,7.0362,96.99,24247.5
The,3.3108,97.09,24272.5
trouble,13.4953,97.42,24355.0
is,2.9556,98.1,24525.0
we,3.6479,98.24,24560.0
can,3.6995,98.51,24627.5
hear,9.7247,98.68,24670.0
her,1.6726,98.83,24707.5
coming,8.5435,99.76,24940.0
She,2.7816,99.99,24997.5
silent,8.0181,100.65,25162.5
invisible,10.8368,101.89,25472.5
until,9.6177,102.22,25555.0
it,6.467,102.42,25605.0
too,0.3942,102.61,25652.5
late,0.0154,104.33,26082.5
I,5.2462,104.44,26110.0
have,4.4183,104.64,26160.0
an,6.8543,104.73,26182.5
idea,0.5821,105.19,26297.5
said,9.2606,105.41,26352.5
the,0.9229,105.47,26367.5
young,4.888,105.72,26430.0
mouse,0.2348,106.54,26635.0
Let,6.1766,106.8,26700.0
put,6.3329,106.98,26745.0
a,2.863,107.03,26757.5
bell,12.2766,107.31,26827.5
on,2.0253,107.43,26857.5
her,3.0545,107.57,26892.5
collar,7.1262,108.46,27115.0
Then,5.4574,108.69,27172.5
we,2.193,108.82,27205.0
hear,4.4346,109.02,27255.0
her,0.8273,109.15,27287.5
coming,5.432,110.46,27615.0
The,3.5769,110.58,27645.0
mice,5.9506,110.87,27717.5
looked,6.6831,111.07,27767.5
at,1.7282,111.17,27792.5
each,0.9283,111.37,27842.5
other,0.0347,112.3,28075.0
That,7.5899,112.46,28115.0
could,7.6017,112.63,28157.5
work,5.5613,112.93,28232.5
said,1.7685,113.15,28287.5
one,5.7615,113.36,28340.0
quietly,13.142,114.2,28550.0
The,2.8296,114.43,28607.5
others,6.7369,114.66,28665.0
nodded,3.3735,115.47,28867.5
It,4.9183,115.64,28910.0
seemed,5.3358,115.94,28985.0
like,2.3935,116.12,29030.0
a,2.0093,116.23,29057.5
good,2.3989,116.61,29152.5
simple,3.9594,117.02,29255.0
plan,2.5808,118.43,29607.5
They,3.8353,118.61,29652.5
scrambled,11.295,119.18,29795.0
into,5.0041,119.35,29837.5
action,5.3971,120.75,30187.5
A,5.0163,120.89,30222.5
group,6.9425,121.23,30307.5
discovered,13.4893,121.72,30430.0
a,2.2907,121.8,30450.0
small,4.1895,122.14,30535.0
bell,12.1825,122.87,30717.5
r,10.434,123.47,30867.5
but,5.6212,123.65,30912.5
usable,11.0293,124.97,31242.5
Another,8.0267,125.43,31357.5
brought,9.7878,125.73,31432.5
string,15.258,126.14,31535.0
from,4.0718,126.33,31582.5
a,2.1662,126.38,31595.0
scare,17.2108,127.03,31757.5
trousers,16.5507,128.06,32015.0
Perfect,15.799,128.6,32150.0
the,9.7144,128.68,32170.0
young,5.8027,128.93,32232.5
mouse,0.1874,129.21,32302.5
bell,13.247,130.14,32535.0
Tonight,13.5932,130.6,32650.0
we,2.5848,130.77,32692.5
end,12.8961,131.02,32755.0
this,4.1375,131.88,32970.0
No,6.8811,132.14,33035.0
more,2.0458,132.33,33082.5
mice,1.7314,132.59,33147.5
will,5.2964,132.69,33172.5
disappear,6.9128,134.06,33515.0
The,3.009,134.19,33547.5
barn,10.5937,134.57,33642.5
erupted,10.5974,134.86,33715.0
in,1.4943,135.09,33772.5
cheers,2.6606,136.9,34225.0
While,10.7767,137.09,34272.5
the,1.4241,137.18,34295.0
mice,3.0558,137.48,34370.0
were,2.9532,137.59,34397.5
talking,6.5019,138.1,34525.0
the,1.9779,138.23,34557.5
old,1.9358,138.53,34632.5
mouse,0.4752,138.94,34735.0
spoke,7.2682,139.31,34827.5
in,4.7653,139.42,34855.0
a,1.4532,139.49,34872.5
quiet,5.4383,139.88,34970.0
voice,0.4213,141.1,35275.0
There,7.4614,141.35,35337.5
is,4.6105,141.49,35372.5
one,5.2852,141.7,35425.0
more,2.405,141.86,35465.0
thing,2.648,142.11,35527.5
he,6.9168,142.25,35562.5
said,3.4689,143.35,35837.5
Who,9.3566,143.54,35885.0
will,3.821,143.73,35932.5
put,7.4352,143.91,35977.5
the,2.0837,143.98,35995.0
bell,1.848,144.28,36070.0
on,0.7611,144.41,36102.5
the,1.9572,144.48,36120.0
cat,5.1176,145.73,36432.5
The,2.617,145.85,36462.5
mice,6.9213,146.18,36545.0
stopped,7.3129,146.53,36632.5
talking,2.8366,147.61,36902.5
No,5.2924,147.8,36950.0
one,1.4133,147.96,36990.0
said,5.4332,148.2,37050.0
anything,1.3691,148.89,37222.5
It,4.8777,149.49,37372.5
is,5.063,149.59,37397.5
easy,7.9763,149.83,37457.5
to,0.6192,150.11,37527.5
think,5.4478,150.2,37550.0
of,2.396,150.44,37610.0
ideas,10.8881,150.53,37632.5
he,5.7564,151.04,37760.0
said,0.9987,151.19,37797.5
Doing,13.8194,152.19,38047.5
them,6.8277,152.28,38070.0
can,6.2285,152.52,38130.0
be,2.1202,152.77,38192.5
harder,7.6886,152.97,38242.5
