index,wav_file,old_name,segment_text,question,C1,C2,C3,C4,C_correct,summary,duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,sum_true.thisRepN,sum_true.thisTrialN,sum_true.thisN,sum_true.thisIndex,dummy_loop.thisRepN,dummy_loop.thisTrialN,dummy_loop.thisN,dummy_loop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,sum_true_exp.thisRepN,sum_true_exp.thisTrialN,sum_true_exp.thisN,sum_true_exp.thisIndex,dummy_loop_exp.thisRepN,dummy_loop_exp.thisTrialN,dummy_loop_exp.thisN,dummy_loop_exp.thisIndex,thisRow.t,notes,Instructions.started,Instructions.stopped,Start_Segment_Train.started,Play_train.started,Trial_counter_train.started,text_5.started,Start_Segment_Train.stopped,Play_train.numClicks,Play_train.timesOn,Play_train.timesOff,Training_Segment.started,Experimen_audio.started,polygon.started,polygon.stopped,Training_Segment.stopped,Rating.started,slider.started,text_3.started,button_2.started,Rating.stopped,slider.response,slider.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,Start_Summary.started,text_2.started,Start_Summary.stopped,summary_button.numClicks,summary_button.timesOn,summary_button.timesOff,skip_button.numClicks,skip_button.timesOn,skip_button.timesOff,Summary.started,textbox.started,Summary.stopped,textbox.text,Multiple_Choice_2.started,Multiple_Choice_2.stopped,A.numClicks,A.timesOn,A.timesOff,B.numClicks,B.timesOn,B.timesOff,C.numClicks,C.timesOn,C.timesOff,D.numClicks,D.timesOn,D.timesOff,Start_Exp.started,Start_exp.started,Start.started,Start_Exp.stopped,Start.numClicks,Start.timesOn,Start.timesOff,Start_Segment.started,Play.started,Trial_counter.started,text_6.started,Start_Segment.stopped,Play.numClicks,Play.timesOn,Play.timesOff,Start_Sum_Exp.started,text_4.started,summary_button_exp.started,skip_button_exp.started,Start_Sum_Exp.stopped,summary_button_exp.numClicks,summary_button_exp.timesOn,summary_button_exp.timesOff,skip_button_exp.numClicks,skip_button_exp.timesOn,skip_button_exp.timesOff,textbox.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,Someday_83_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_037_of_116_4.wav,I sound odd to myself as if I'm playing the part of a professional actress who has meetings all the time and is sort of blasé about them I loved Barney Sparks I want to tell Dan but I'm suspicious of anything that seems too easy I'm not sure why I can't say that now and not sure why I didn't jump at the chance to say yes in Barney's office It feels like I'm an actor in an Italian movie from the 60s saying the placeholder lines into the camera waiting for the real ones that come later,What is the narrator suspicious of?,A. Things that take too long,B. Things that are hard to do,C. Things that seem controversial,D. Things that seem too easy,D. Things that seem too easy,yes,9.071875,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.62778612500006,292.01397229099985,1,8.376239499999883,8.376242124999862,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_88_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_039_of_116_1.wav,It always seems like something that I should like more than I do though some flavors taste like dirty bath water Or maybe I don't like it on principle because I know it's supposed to be healthy If it was filled with calories and fat would I like it more and why oh why am I thinking about this right now This is hardly the time to make a ruling on such a difficult subject What no scotch I say and I can immediately feel my face flush red I put my hand on my hip in what I hope is a jaunty manner in an attempt to cover for the fact that I'm trying too hard,Why does the narrator say she puts her hand on her hip,A. To hide that she is trying too hard,B. To look attractive,C. To rest her hand,D. To be serious,A. To hide that she is trying too hard,yes,9.00625,,,,,,,,,,,,,0,3,3,3,0,0,0,0,0,0,0,0,307.5445361249999,,,,,,,,,,,,294.1845025829998,294.2005492916667,294.1993742909999,303.200552583,303.21248237500004,303.2237285410001,303.4646723329997,303.4646723329997,305.137945166,306.1064140829999,4.966666666666667,1.8871811669996532,1,[0.9777847909999764],[0.9777869580002516],,,,,,,,,,307.5196579999997,307.5445361249999,322.52897429099994,trying too hard calories hands on my hips scotch,,,,,,,,,,,,,,,,,,,,,,292.01457116599977,292.0271769579999,292.0271769579999,292.0271769579999,294.1843120409999,1,[2.1681067920003443],[2.1681094170003234],306.10688195800003,306.1125603329997,306.1125603329997,306.1125603329997,307.5188507079997,1,[1.4112402499999916],[1.4112428749999708],0,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_88_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_039_of_116_1.wav,It always seems like something that I should like more than I do though some flavors taste like dirty bath water Or maybe I don't like it on principle because I know it's supposed to be healthy If it was filled with calories and fat would I like it more and why oh why am I thinking about this right now This is hardly the time to make a ruling on such a difficult subject What no scotch I say and I can immediately feel my face flush red I put my hand on my hip in what I hope is a jaunty manner in an attempt to cover for the fact that I'm trying too hard,Why does the narrator say she puts her hand on her hip,A. To hide that she is trying too hard,B. To look attractive,C. To rest her hand,D. To be serious,A. To hide that she is trying too hard,yes,9.00625,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_88_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_039_of_116_1.wav,It always seems like something that I should like more than I do though some flavors taste like dirty bath water Or maybe I don't like it on principle because I know it's supposed to be healthy If it was filled with calories and fat would I like it more and why oh why am I thinking about this right now This is hardly the time to make a ruling on such a difficult subject What no scotch I say and I can immediately feel my face flush red I put my hand on my hip in what I hope is a jaunty manner in an attempt to cover for the fact that I'm trying too hard,Why does the narrator say she puts her hand on her hip,A. To hide that she is trying too hard,B. To look attractive,C. To rest her hand,D. To be serious,A. To hide that she is trying too hard,yes,9.00625,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.52917049999996,328.7393216659998,1,6.201068874999692,6.201071499999671,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_72_condition-3x.wav,Someday__Someday__Maybe__Unabridged___File_034_of_116_0.wav,Okay Yeah thanks I Say the exact same lines over and over again until they lose all meaning Someone with a stopwatch times me and for about four hours I'm either speeding up or slowing down by increments of one second to at most Takes that are 28 seconds strangely feel longer than the ones that are 26 Smile more smile less tilt my head talk to the camera like it's my best friend raise inflection on the name of the product But don't sell it not too much not too little have fun with it,What does the narrator do repeatedly?,A. Speak the same lines,B. Adjust the camera,C. Change outfits,D. Time herself with a stopwatch,A. Speak the same lines,yes,10.90125,,,,,,,,,,,,,0,4,4,4,0,0,0,0,0,0,0,0,348.0633802080001,,,,,,,,,,,,331.369531416,331.38552516666664,331.38840608300006,342.29719483300005,342.29838033299984,342.3096365409997,342.54942066600006,342.54942066600006,343.67943379100006,344.55877387500004,9.975,1.3411827909999374,1,[0.8923699590000069],[0.8923722919998909],,,,,,,,,,348.038576208,348.0633802080001,363.0480205409999,not too much not too little raise my head smile for the camera,,,,,,,,,,,,,,,,,,,,,,328.7398713749999,328.74742775000004,328.74742775000004,328.74742775000004,331.36934087500003,1,[2.6273435840003003],[2.6273495420000472],344.5592657500001,344.564860166,344.564860166,344.564860166,348.0378572909999,1,[3.477870208999775],[3.477872749999733],0,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_72_condition-3x.wav,Someday__Someday__Maybe__Unabridged___File_034_of_116_0.wav,Okay Yeah thanks I Say the exact same lines over and over again until they lose all meaning Someone with a stopwatch times me and for about four hours I'm either speeding up or slowing down by increments of one second to at most Takes that are 28 seconds strangely feel longer than the ones that are 26 Smile more smile less tilt my head talk to the camera like it's my best friend raise inflection on the name of the product But don't sell it not too much not too little have fun with it,What does the narrator do repeatedly?,A. Speak the same lines,B. Adjust the camera,C. Change outfits,D. Time herself with a stopwatch,A. Speak the same lines,yes,10.90125,,,,,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_72_condition-3x.wav,Someday__Someday__Maybe__Unabridged___File_034_of_116_0.wav,Okay Yeah thanks I Say the exact same lines over and over again until they lose all meaning Someone with a stopwatch times me and for about four hours I'm either speeding up or slowing down by increments of one second to at most Takes that are 28 seconds strangely feel longer than the ones that are 26 Smile more smile less tilt my head talk to the camera like it's my best friend raise inflection on the name of the product But don't sell it not too much not too little have fun with it,What does the narrator do repeatedly?,A. Speak the same lines,B. Adjust the camera,C. Change outfits,D. Time herself with a stopwatch,A. Speak the same lines,yes,10.90125,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.0482071659999,367.20874645799995,1,4.1505059169999186,4.150508416999855,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_85_condition.wav,Someday__Someday__Maybe__Unabridged___File_038_of_116_1.wav,He hands me a paper badge with my name printed on it and says Yes it's okay for me to go up The elevator empties out around the 20th floor so I quickly try to use the smoked mirror walls to check my face and hair and outfit I'm wearing my black stretchy turtleneck with my black wool mini skirt black tights and Doc Martens lace up boots And now I can see in the reflection in the elevator mirror that the skirt is too short I try to pull it down but then my sweater isn't long enough and if I pull the skirt down to where it looks better an inch of my stomach shows,What does the narrator realize about her outfit when she checks her reflection?,A. Her turtleneck is too tight,B. Her boots don't match,C. Her skirt is too short,D. Her hair is a mess,C. Her skirt is too short,yes,30.01,,,,,,,,,,,,,0,5,5,5,0,0,0,0,0,0,0,0,406.1519278749997,,,,,,,,,,,,371.40550595800005,371.45487054100005,371.44714858299994,401.45029395799975,401.46791575,401.4893220409999,401.7263961660001,401.7263961660001,403.38231291600005,404.31254554099996,10,1.853364916999908,1,[0.9549689589998707],[0.9549712920002094],,,,,,,,,,406.1420908330001,406.1519278749997,421.1355468749998,black skirt pull it down my stomach shows elevator stretchy turtleneck,,,,,,,,,,,,,,,,,,,,,,367.20930391599995,367.21583091599996,367.21583091599996,367.21583091599996,371.40530604100013,1,[4.195570833000147],[4.195573416000116],404.3130275409999,404.31834445799996,404.31834445799996,404.31834445799996,406.14124025,1,[1.8274574580000262],[1.8274602910000795],0,,,421.15592987499986,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_85_condition.wav,Someday__Someday__Maybe__Unabridged___File_038_of_116_1.wav,He hands me a paper badge with my name printed on it and says Yes it's okay for me to go up The elevator empties out around the 20th floor so I quickly try to use the smoked mirror walls to check my face and hair and outfit I'm wearing my black stretchy turtleneck with my black wool mini skirt black tights and Doc Martens lace up boots And now I can see in the reflection in the elevator mirror that the skirt is too short I try to pull it down but then my sweater isn't long enough and if I pull the skirt down to where it looks better an inch of my stomach shows,What does the narrator realize about her outfit when she checks her reflection?,A. Her turtleneck is too tight,B. Her boots don't match,C. Her skirt is too short,D. Her hair is a mess,C. Her skirt is too short,yes,30.01,,,,,,,,,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_85_condition.wav,Someday__Someday__Maybe__Unabridged___File_038_of_116_1.wav,He hands me a paper badge with my name printed on it and says Yes it's okay for me to go up The elevator empties out around the 20th floor so I quickly try to use the smoked mirror walls to check my face and hair and outfit I'm wearing my black stretchy turtleneck with my black wool mini skirt black tights and Doc Martens lace up boots And now I can see in the reflection in the elevator mirror that the skirt is too short I try to pull it down but then my sweater isn't long enough and if I pull the skirt down to where it looks better an inch of my stomach shows,What does the narrator realize about her outfit when she checks her reflection?,A. Her turtleneck is too tight,B. Her boots don't match,C. Her skirt is too short,D. Her hair is a mess,C. Her skirt is too short,yes,30.01,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.13577079100014,430.30937129099993,0,,,0,,,1,9.16337916700013,9.16338204199974,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_142_condition-2x.wav,Someday__Someday__Maybe__Unabridged___File_088_of_116_2.wav,"Metro North is on strike. So I can't take the train I have no wallet. No driver's license. I can't pick up the rental car Two nights ago on the way home from James's I arrived at our front door Just as our downstairs neighbor was leaving and Dan and Jane were home with the door to our place already open So it wasn't until I went to get bagels the next morning that I realized in my rush to leave I forgot my purse at James's apartment. I left him a message, but he must have already taken off for Los Angeles",Where did the narrator forget her purse?,A. In the subway,B. In James's apartment,C. In the acting school,D. In the cab,B. In James's apartment,yes,13.62353125,,,,,,,,,,,,,0,6,6,6,0,0,0,0,0,0,0,0,449.67064279099986,,,,,,,,,,,,432.5081772079998,432.5237922076665,432.52859050000006,446.1397918749999,446.1542186249999,446.16544666599975,446.4059818749997,446.4059818749997,447.81277054099974,448.7261430829999,9.991666666666665,1.620443042000261,1,[0.9225805420001052],[0.9225828329999786],,,,,,,,,,449.66155658299976,449.67064279099986,464.65460512499976,i left him a message but he must have already taken off for los angeles i left my purse james,,,,,,,,,,,,,,,,,,,,,,430.3098488329997,430.3166913750001,430.3166913750001,430.3166913750001,432.5079649579998,1,[2.1963889170001494],[2.196392082999864],448.7266333329999,448.7356373329999,448.7356373329999,448.7356373329999,449.66072799999984,1,[0.9333696670000791],[0.9333727500002169],0,,,464.67364562500006,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
